"filename", "language", "PHP", "MS SQL", "JSON", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"d:\laragon\www\admin\log\index.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\laragon\www\admin\school\addloc.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 11, 28
"d:\laragon\www\admin\school\change.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\laragon\www\admin\school\changemap.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 7, 21, 111
"d:\laragon\www\admin\school\index.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 3, 25, 137
"d:\laragon\www\admin\school\logout.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 2, 3, 11
"d:\laragon\www\admin\school\upload.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 5, 5, 47
"d:\laragon\www\assets\css\cepu.css", "PostCSS", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"d:\laragon\www\assets\logo.svg", "XML", 0, 0, 0, 0, 133, 0, 0, 0, 1, 134
"d:\laragon\www\assets\logo2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\laragon\www\assets\logoFIX.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\laragon\www\assets\logoFIXbgt.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\laragon\www\check.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\laragon\www\components\footer.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\laragon\www\components\nav.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\laragon\www\components\style.css", "PostCSS", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\laragon\www\composer.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\laragon\www\composer.lock", "JSON", 0, 0, 492, 0, 0, 0, 0, 0, 1, 493
"d:\laragon\www\db.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\laragon\www\development\admin.sql", "MS SQL", 0, 22, 0, 0, 0, 0, 0, 27, 13, 62
"d:\laragon\www\development\data.sql", "MS SQL", 0, 13, 0, 0, 0, 0, 0, 7, 4, 24
"d:\laragon\www\development\log.sql", "MS SQL", 0, 26, 0, 0, 0, 0, 0, 27, 13, 66
"d:\laragon\www\development\tes.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\laragon\www\dummdummy.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 4, 5, 30
"d:\laragon\www\exlogin.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\laragon\www\index.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 3, 16, 104
"d:\laragon\www\login.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 7, 53
"d:\laragon\www\report.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\laragon\www\vendor\autoload.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\laragon\www\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 0, 0, 235, 59, 580
"d:\laragon\www\vendor\composer\InstalledVersions.php", "PHP", 196, 0, 0, 0, 0, 0, 0, 147, 54, 397
"d:\laragon\www\vendor\composer\autoload_classmap.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"d:\laragon\www\vendor\composer\autoload_files.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\laragon\www\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 1, 4, 10
"d:\laragon\www\vendor\composer\autoload_psr4.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"d:\laragon\www\vendor\composer\autoload_real.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 4, 12, 51
"d:\laragon\www\vendor\composer\autoload_static.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 1, 9, 82
"d:\laragon\www\vendor\composer\installed.json", "JSON", 0, 0, 497, 0, 0, 0, 0, 0, 1, 498
"d:\laragon\www\vendor\composer\installed.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"d:\laragon\www\vendor\composer\platform_check.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\laragon\www\vendor\graham-campbell\result-type\composer.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"d:\laragon\www\vendor\graham-campbell\result-type\src\Error.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 72, 13, 122
"d:\laragon\www\vendor\graham-campbell\result-type\src\Result.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 50, 9, 70
"d:\laragon\www\vendor\graham-campbell\result-type\src\Success.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 71, 13, 121
"d:\laragon\www\vendor\phpoption\phpoption\composer.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"d:\laragon\www\vendor\phpoption\phpoption\src\PhpOption\LazyOption.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 41, 30, 176
"d:\laragon\www\vendor\phpoption\phpoption\src\PhpOption\None.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 23, 26, 137
"d:\laragon\www\vendor\phpoption\phpoption\src\PhpOption\Option.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 313, 34, 435
"d:\laragon\www\vendor\phpoption\phpoption\src\PhpOption\Some.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 35, 31, 170
"d:\laragon\www\vendor\symfony\polyfill-ctype\Ctype.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 127, 30, 233
"d:\laragon\www\vendor\symfony\polyfill-ctype\README.md", "Markdown", 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"d:\laragon\www\vendor\symfony\polyfill-ctype\bootstrap.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 8, 5, 51
"d:\laragon\www\vendor\symfony\polyfill-ctype\bootstrap80.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 8, 4, 47
"d:\laragon\www\vendor\symfony\polyfill-ctype\composer.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"d:\laragon\www\vendor\symfony\polyfill-mbstring\Mbstring.php", "PHP", 784, 0, 0, 0, 0, 0, 0, 70, 192, 1046
"d:\laragon\www\vendor\symfony\polyfill-mbstring\README.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"d:\laragon\www\vendor\symfony\polyfill-mbstring\Resources\unidata\caseFolding.php", "PHP", 118, 0, 0, 0, 0, 0, 0, 0, 2, 120
"d:\laragon\www\vendor\symfony\polyfill-mbstring\Resources\unidata\lowerCase.php", "PHP", 1396, 0, 0, 0, 0, 0, 0, 0, 2, 1398
"d:\laragon\www\vendor\symfony\polyfill-mbstring\Resources\unidata\titleCaseRegexp.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 1, 3, 6
"d:\laragon\www\vendor\symfony\polyfill-mbstring\Resources\unidata\upperCase.php", "PHP", 1488, 0, 0, 0, 0, 0, 0, 0, 2, 1490
"d:\laragon\www\vendor\symfony\polyfill-mbstring\bootstrap.php", "PHP", 149, 0, 0, 0, 0, 0, 0, 8, 16, 173
"d:\laragon\www\vendor\symfony\polyfill-mbstring\bootstrap80.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 8, 14, 168
"d:\laragon\www\vendor\symfony\polyfill-mbstring\composer.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"d:\laragon\www\vendor\symfony\polyfill-php80\Php80.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 15, 19, 116
"d:\laragon\www\vendor\symfony\polyfill-php80\PhpToken.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 34, 16, 107
"d:\laragon\www\vendor\symfony\polyfill-php80\README.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 6, 26
"d:\laragon\www\vendor\symfony\polyfill-php80\Resources\stubs\Attribute.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 9, 5, 32
"d:\laragon\www\vendor\symfony\polyfill-php80\Resources\stubs\PhpToken.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 8, 3, 17
"d:\laragon\www\vendor\symfony\polyfill-php80\Resources\stubs\Stringable.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 11, 3, 21
"d:\laragon\www\vendor\symfony\polyfill-php80\Resources\stubs\UnhandledMatchError.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 8, 3, 17
"d:\laragon\www\vendor\symfony\polyfill-php80\Resources\stubs\ValueError.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 8, 3, 17
"d:\laragon\www\vendor\symfony\polyfill-php80\bootstrap.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 8, 6, 43
"d:\laragon\www\vendor\symfony\polyfill-php80\composer.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"d:\laragon\www\vendor\vlucas\phpdotenv\composer.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Dotenv.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 132, 32, 268
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Exception\ExceptionInterface.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 5, 13
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Exception\InvalidEncodingException.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 5, 13
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Exception\InvalidFileException.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 5, 13
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Exception\InvalidPathException.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 5, 13
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Exception\ValidationException.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 5, 13
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Loader\Loader.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 12, 8, 49
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Loader\LoaderInterface.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 8, 5, 21
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Loader\Resolver.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 28, 7, 66
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\Entry.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 29, 9, 60
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\EntryParser.php", "PHP", 166, 0, 0, 0, 0, 0, 0, 109, 25, 300
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\Lexer.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 21, 11, 59
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\Lines.php", "PHP", 60, 0, 0, 0, 0, 0, 0, 49, 19, 128
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\Parser.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 18, 6, 54
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\ParserInterface.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 9, 4, 20
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Parser\Value.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 41, 13, 89
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\AdapterRepository.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 53, 14, 108
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\AdapterInterface.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 5, 4, 16
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\ApacheAdapter.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 42, 11, 90
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\ArrayAdapter.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 38, 12, 81
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\EnvConstAdapter.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 35, 13, 89
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\GuardedWriter.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 44, 11, 86
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\ImmutableWriter.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 54, 16, 111
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\MultiReader.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 19, 8, 49
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\MultiWriter.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 27, 9, 65
"d:\laragon\www\vendor\vlucas\phpdotenv\src\Repository\Adapter\PutenvAdapter.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 40, 13, 92
